"","AA4","is_female","DG3","DG4","DG5_4","DG6","DG8a","DG9a","DL0","DL1","DL14","DL15","DL24","MT1","MT1A","MT2","MT10","IFI14_1","IFI14_2","IFI15_2","IFI16_1","FL4","FL9A","FL10","FB20","LN1A","LN2_1","GN2","GN3","GN4","GN5"
"953","16","1","3","1","2","2","2","1","2","7","8","1","2","1","1","1","2","1","1","1","1","3","3","10","15","4","1","1","1","1","1"
"954","22","1","3","7","2","2","2","1","2","5","3","3","3","2","2","1","1","3","3","3","2","2","1","11","13","2","4","1","3","3","3"
"955","26","1","8","1","2","2","2","0","2","7","3","1","3","0","2","2","2","2","2","1","1","2","5","7","2","4","1","3","3","3","1"
"956","35","0","3","6","2","1","2","2","1","2","2","2","5","1","1","2","2","2","2","2","2","2","1","11","2","4","4","2","2","2","2"
"957","26","1","3","1","2","2","3","3","2","7","4","2","9","1","2","2","2","4","1","1","2","2","1","11","1","1","1","2","2","2","2"
"958","14","0","1","9","2","3","5","1","2","6","5","4","3","1","1","1","1","1","1","1","1","1","1","7","6","1","5","1","1","1","1"
"959","26","1","8","5","2","2","3","0","2","7","3","1","3","1","2","2","2","3","99","99","2","8","6","2","1","2","1","3","2","2","2"
"960","34","0","3","5","2","1","3","2","1","1","3","2","3","2","99","2","2","1","99","99","1","1","1","2","1","1","3","1","1","1","1"
"961","33","1","3","1","2","2","4","3","2","7","9","1","3","0","2","2","2","4","99","99","2","2","1","9","1","4","1","2","1","3","3"
"962","26","1","8","1","2","2","2","99","2","7","2","1","2","1","2","2","2","2","2","2","1","2","11","2","6","4","1","2","2","2","2"
"963","25","1","6","1","2","3","1","0","2","10","1","2","1","1","4","2","2","3","3","3","1","1","1","11","15","4","1","1","1","1","1"
"964","16","0","1","11","1","1","2","1","1","1","3","3","5","2","1","1","1","1","1","1","7","1","1","2","2","1","5","1","1","1","1"
"965","16","1","1","7","2","3","2","1","2","7","2","4","3","2","3","1","2","2","99","99","2","99","1","99","1","2","1","4","4","4","4"
"966","34","0","3","10","2","2","2","1","2","1","2","2","5","2","1","1","1","2","1","1","2","1","1","11","2","1","2","1","1","1","1"
"967","22","1","6","3","2","1","1","1","1","3","1","2","1","99","1","2","2","4","4","4","2","8","6","8","3","4","3","1","1","1","1"
"968","16","1","3","1","2","2","1","1","2","7","4","1","99","1","2","2","2","2","2","2","1","2","1","1","10","4","1","2","3","2","2"
"969","23","1","3","10","2","2","3","1","2","7","5","3","2","1","2","1","1","1","1","1","1","2","2","1","2","1","5","2","2","2","2"
"970","32","0","3","5","2","3","3","2","2","1","3","1","4","3","1","1","1","2","1","1","2","1","11","6","2","1","1","2","3","3","3"
"971","32","0","3","5","2","1","2","2","1","2","4","2","5","1","2","2","2","2","6","4","2","4","2","99","1","1","3","3","4","3","3"
"972","43","0","3","7","1","1","99","1","1","99","6","3","99","99","1","1","1","4","2","4","4","1","1","99","3","2","4","1","1","1","1"
"973","41","0","3","7","2","1","2","2","1","1","3","3","3","2","1","1","1","3","3","1","2","8","6","2","6","1","4","1","1","1","1"
"974","42","0","1","5","2","3","2","2","2","1","2","2","3","1","1","1","1","4","4","6","3","1","1","10","1","2","1","4","4","1","1"
"975","32","0","1","1","2","1","3","3","1","1","3","1","1","0","1","2","2","3","3","2","2","1","6","2","2","3","1","3","3","3","3"
"976","26","1","3","10","2","3","5","3","2","7","5","3","4","4","2","1","1","3","3","2","2","3","1","99","15","1","4","4","4","4","4"
"977","23","1","3","1","2","2","3","2","2","7","5","1","2","2","2","2","2","2","2","1","1","2","11","99","15","4","1","2","2","2","2"
"978","41","1","3","1","2","2","2","2","2","7","2","1","9","1","1","2","2","3","3","2","2","8","1","99","15","1","1","2","2","2","1"
"979","21","1","8","6","2","2","2","0","2","5","2","2","5","1","2","2","2","99","99","99","2","99","1","11","15","4","4","2","2","2","2"
"980","44","1","3","1","2","2","4","1","2","2","4","1","3","2","99","2","2","3","99","99","1","2","3","5","1","1","1","2","2","2","2"
"981","41","0","1","6","1","3","3","3","1","96","3","3","5","1","1","1","1","4","4","2","2","1","3","11","1","2","4","4","4","1","1"
"982","26","0","8","5","2","3","3","1","2","6","4","1","2","1","3","1","2","3","3","2","2","8","11","8","4","3","2","4","4","4","4"
"983","21","1","3","3","2","2","1","1","1","1","2","3","5","1","1","1","1","2","5","2","8","2","1","5","1","4","5","1","1","2","1"
"984","32","0","1","8","2","1","5","1","1","1","5","4","2","1","1","1","1","4","99","99","1","1","11","99","2","1","1","1","1","1","1"
"985","16","1","3","10","2","4","4","2","2","7","4","3","5","0","99","2","2","2","2","1","99","2","1","11","2","1","5","3","3","3","3"
"986","16","1","3","99","2","99","4","4","2","5","4","1","99","0","99","2","2","99","99","99","2","99","1","99","3","4","1","99","99","99","99"
"987","23","1","3","7","2","3","3","1","2","8","8","2","3","2","3","1","1","1","1","2","1","2","3","5","1","2","2","4","4","4","4"
"988","24","0","3","6","2","1","2","1","1","5","4","2","3","1","1","1","1","1","1","1","1","1","6","8","1","1","3","1","1","1","1"
"989","26","0","3","2","2","1","3","1","1","4","3","1","3","1","1","2","2","2","99","99","1","1","6","8","6","4","1","1","1","1","1"
"990","41","0","3","1","2","1","2","1","1","3","2","1","1","0","1","2","2","3","3","2","2","1","3","5","13","4","1","1","1","1","1"
"991","26","1","8","10","2","2","2","1","2","3","2","3","3","2","2","1","1","3","3","2","1","2","11","6","6","1","4","2","2","2","2"
"992","21","1","3","1","2","2","2","1","2","7","2","1","3","1","2","2","2","4","99","99","99","2","96","99","3","4","1","2","2","2","2"
"993","16","1","3","1","2","2","4","2","1","5","6","2","2","2","2","2","2","99","99","99","2","2","11","2","6","4","1","2","2","2","2"
"994","35","0","3","5","2","1","3","0","1","1","3","3","1","1","1","1","1","4","4","99","6","2","5","99","14","2","2","2","2","2","2"
"995","15","1","3","7","2","2","3","1","2","7","4","3","3","2","1","1","1","3","3","1","1","99","11","99","6","4","3","2","2","2","2"
"996","44","0","3","1","2","1","3","3","2","10","3","2","3","1","2","2","2","99","99","99","3","99","11","99","15","4","1","99","2","2","2"
"997","41","0","1","10","2","5","3","1","2","5","3","2","5","3","1","1","1","1","1","1","1","1","11","1","2","1","5","4","4","4","4"
"998","16","1","1","7","2","3","4","2","2","8","5","1","3","2","3","1","2","4","99","99","6","8","5","1","2","1","3","3","4","4","4"
"999","43","1","1","7","2","7","2","1","2","6","2","2","3","2","3","1","1","3","3","1","3","8","1","11","2","4","5","4","4","4","4"
"1000","25","0","3","5","2","1","3","1","1","1","20","2","4","1","1","1","1","3","3","3","6","1","1","3","6","2","3","1","1","1","1"
"1001","43","1","3","5","2","2","3","1","2","3","5","2","2","1","2","2","2","4","3","2","3","2","3","2","14","1","3","1","2","2","2"
"1002","41","1","3","1","2","2","3","2","2","4","3","1","3","1","2","2","2","4","4","2","2","2","6","8","6","4","1","1","2","3","3"
"1003","42","0","3","2","2","1","2","2","1","1","2","2","99","0","99","2","2","2","2","2","2","99","11","99","3","4","1","99","99","99","99"
"1004","33","0","1","6","2","7","4","1","1","1","4","1","5","1","1","1","1","2","2","6","8","1","1","11","2","1","5","3","3","4","3"
"1005","26","1","3","5","2","2","2","1","2","7","3","2","3","2","2","1","1","3","3","1","2","2","1","2","1","3","2","1","2","3","3"
"1006","23","1","1","6","2","3","4","2","2","8","6","4","1","1","5","2","2","4","4","4","3","8","3","5","15","2","2","3","3","3","3"
"1007","32","1","1","7","2","3","2","1","2","8","3","3","4","99","3","2","2","1","1","1","1","8","1","11","1","1","4","4","4","4","4"
"1008","23","0","3","1","2","7","2","1","1","1","6","1","3","1","1","1","2","2","2","1","6","1","1","99","14","4","1","1","1","1","1"
"1009","32","0","3","99","2","99","99","99","1","99","2","1","99","99","99","2","2","99","99","99","99","99","11","99","15","4","1","99","99","99","99"
"1010","44","0","3","1","2","1","2","2","1","1","3","1","3","1","1","1","1","2","2","1","3","8","6","2","10","4","3","3","3","3","3"
"1011","16","1","3","1","2","2","2","1","2","7","8","1","1","2","2","1","2","4","99","99","2","2","3","9","15","4","1","2","2","2","2"
"1012","25","0","3","4","2","1","2","1","1","4","2","2","3","1","4","2","2","3","3","1","2","2","9","7","1","1","2","2","2","2","2"
"1013","43","0","3","8","1","3","4","2","1","1","4","3","99","4","1","1","1","1","1","1","7","2","3","99","12","1","5","3","3","3","3"
"1014","34","1","3","5","2","2","2","1","2","7","2","3","3","2","2","1","1","1","1","99","99","2","11","99","14","2","3","2","2","2","2"
"1015","31","0","3","4","2","1","3","3","1","5","3","1","3","1","1","1","1","3","3","2","2","1","1","7","1","4","1","1","1","1","1"
"1016","23","1","3","3","2","2","4","4","2","5","7","2","2","2","2","2","2","1","99","99","1","2","1","2","3","3","1","2","2","2","2"
"1017","25","1","7","6","2","3","4","2","2","99","5","1","3","2","3","2","2","3","99","99","2","99","1","11","1","2","2","4","4","4","4"
"1018","32","0","3","7","2","3","3","3","1","5","3","1","99","1","3","1","1","99","99","99","2","1","7","3","14","1","1","4","4","4","4"
"1019","23","0","1","6","2","3","3","2","2","3","8","4","2","2","1","1","1","3","3","2","1","1","1","99","15","1","3","4","4","4","4"
"1020","21","0","3","7","2","2","2","0","1","3","3","2","1","1","1","1","1","4","99","99","2","2","1","2","6","2","4","2","2","2","2"
"1021","41","0","3","10","1","7","5","2","2","7","5","3","5","4","1","1","1","1","1","1","5","2","10","4","1","1","5","2","2","2","2"
"1022","26","1","8","1","2","2","2","1","2","7","2","1","2","1","1","2","2","1","1","1","1","2","3","2","2","4","1","2","2","2","2"
"1023","25","1","7","5","2","5","3","1","2","6","5","3","4","1","5","1","1","3","3","2","1","99","1","11","15","1","2","3","3","3","3"
"1024","33","0","1","7","2","3","4","3","2","3","4","4","3","1","5","2","2","4","4","99","3","8","5","7","2","1","4","99","4","4","99"
"1025","26","1","3","4","2","4","2","1","2","7","2","1","3","1","4","2","2","3","99","99","2","8","1","5","1","3","1","3","3","3","1"
"1026","42","0","3","6","2","1","2","2","2","7","2","3","1","0","1","2","2","3","3","2","2","2","11","99","3","4","1","2","2","2","2"
"1027","41","1","6","6","2","1","1","1","2","7","1","3","9","1","1","1","1","2","2","2","3","1","1","11","3","2","2","1","1","1","1"
"1028","33","0","3","1","2","1","4","1","2","1","4","2","1","1","1","1","1","1","1","1","1","1","1","1","15","1","5","1","1","1","1"
"1029","32","0","1","7","2","1","2","2","1","1","2","1","3","1","1","1","1","6","6","1","3","8","8","11","6","2","3","1","1","1","3"
"1030","26","1","3","1","2","2","3","1","2","7","6","1","3","1","99","2","2","2","4","3","1","99","11","2","15","4","1","2","2","2","99"
"1031","31","1","3","1","2","2","5","5","2","7","6","1","2","1","2","2","2","1","99","6","1","2","11","99","2","4","1","2","2","2","2"
"1032","33","0","1","5","2","1","4","1","1","5","6","1","1","1","1","1","1","3","3","3","6","1","3","5","15","3","1","3","3","3","3"
"1033","23","1","3","5","2","2","1","1","2","7","3","1","1","1","1","1","2","2","99","99","1","2","1","3","1","3","1","2","2","2","2"
"1034","14","0","3","6","2","1","4","2","1","1","4","1","4","1","4","2","2","3","99","99","2","1","7","11","3","1","3","1","3","1","3"
"1035","16","0","1","1","2","1","1","1","1","3","1","4","2","0","1","2","2","6","99","99","3","1","1","2","6","4","1","1","1","1","1"
"1036","25","1","6","1","2","1","4","2","2","3","5","1","2","2","4","2","2","3","99","99","1","8","2","2","6","4","1","3","3","1","1"
"1037","23","1","3","1","2","2","4","1","2","7","6","2","1","1","2","1","2","2","2","1","1","2","2","6","15","4","1","2","2","2","3"
"1038","22","0","3","7","1","7","2","1","1","2","2","3","3","2","1","1","1","2","2","2","2","1","1","11","1","1","4","3","3","3","3"
"1039","21","0","1","6","2","3","2","2","2","8","3","4","2","1","3","1","1","3","3","2","2","99","11","5","6","1","4","4","4","4","4"
"1040","21","0","1","10","2","1","2","2","1","5","2","3","5","2","1","1","1","2","3","2","1","1","1","8","1","1","4","1","1","1","1"
"1041","16","0","3","1","2","3","7","4","2","4","8","1","1","1","1","1","1","1","1","1","1","8","1","9","15","4","2","4","4","4","4"
"1042","34","0","3","8","2","1","2","1","2","4","2","3","99","2","1","1","2","99","1","1","1","1","1","99","14","1","5","3","3","3","3"
"1043","26","1","6","2","2","1","1","0","1","96","1","1","2","1","1","1","2","2","1","1","1","1","1","2","4","3","1","1","1","1","1"
"1044","31","0","3","1","2","1","2","1","1","4","4","2","3","1","1","1","1","3","3","3","2","1","6","7","3","4","1","1","1","1","1"
"1045","26","1","8","5","2","2","4","0","2","7","6","1","2","1","3","1","2","3","3","99","3","8","6","2","15","2","1","3","3","3","3"
"1046","31","0","3","2","2","1","99","99","1","99","3","1","99","99","1","2","2","6","6","4","8","99","7","7","15","3","1","3","3","3","3"
"1047","25","1","6","1","2","1","1","1","1","4","1","1","2","0","1","2","2","99","99","99","1","8","8","11","8","4","1","1","1","1","1"
"1048","21","0","3","1","2","1","4","0","2","10","4","3","3","2","4","2","2","3","3","3","6","2","3","3","2","4","1","3","3","3","3"
"1049","16","0","3","10","1","3","6","2","1","1","7","1","4","3","1","1","1","2","5","1","2","2","6","1","1","1","4","2","2","2","2"
"1050","34","0","8","7","2","1","2","1","1","1","2","2","5","1","1","1","1","1","99","99","2","1","11","1","2","4","1","1","1","1","1"
"1051","24","1","3","2","2","2","2","2","2","7","4","4","3","1","2","2","2","4","4","3","2","2","1","5","1","4","1","3","3","3","3"
"1052","34","1","6","1","2","1","2","1","2","7","2","1","2","0","4","2","2","4","4","3","99","99","11","99","13","1","1","3","3","4","3"
"1053","33","0","3","4","2","5","6","5","2","2","8","1","1","3","1","1","1","2","4","2","1","1","1","3","1","2","1","1","1","1","1"
"1054","15","1","3","1","2","2","4","2","2","7","4","1","3","2","4","2","2","3","1","3","3","8","7","2","2","4","1","3","3","3","3"
"1055","16","0","6","1","2","1","4","99","2","6","7","1","2","0","99","2","2","3","99","99","1","1","3","5","13","4","1","1","1","1","1"
"1056","35","0","8","3","2","2","2","2","2","1","4","2","2","1","1","2","2","99","99","99","2","99","1","1","1","1","4","2","2","2","4"
"1057","32","1","3","4","2","3","3","3","2","99","3","3","5","1","1","2","2","99","99","99","1","99","11","99","2","1","1","99","99","99","99"
"1058","21","0","3","7","2","1","3","2","1","4","4","3","2","1","1","1","1","6","6","99","99","1","1","11","1","1","1","1","1","1","1"
"1059","13","1","3","5","2","2","7","3","2","7","10","1","2","2","2","2","2","2","5","3","1","99","7","99","15","3","1","2","2","2","2"
"1060","23","0","3","5","1","3","6","3","2","96","10","2","3","4","1","1","1","3","3","2","2","1","5","1","6","2","2","4","4","4","4"
"1061","24","1","6","1","2","1","3","1","1","2","5","1","1","0","99","2","2","2","1","99","1","1","7","11","8","4","1","1","1","99","99"
"1062","23","1","3","2","2","2","4","3","2","7","4","1","3","3","2","2","2","2","2","2","1","2","3","5","1","4","1","3","3","3","3"
"1063","26","1","6","5","2","1","3","1","1","4","4","1","2","1","1","1","1","2","2","2","2","1","1","7","1","1","4","1","1","1","1"
"1064","42","0","3","10","2","1","3","3","1","1","3","1","3","1","1","1","1","1","99","99","1","1","11","99","14","1","5","1","1","1","1"
"1065","41","1","3","4","2","2","4","1","2","7","4","1","4","1","2","2","1","1","1","1","1","3","4","4","3","3","2","3","3","3","3"
"1066","14","1","2","5","2","2","2","0","2","7","2","1","3","1","1","1","1","3","3","2","2","2","11","99","2","3","1","2","2","2","2"
"1067","26","0","1","11","2","3","2","1","1","1","2","2","5","2","1","1","1","2","2","1","1","3","6","11","1","1","5","1","1","1","1"
"1068","16","0","3","6","2","1","7","2","1","1","9","3","9","2","1","1","1","2","2","1","1","2","1","6","1","1","1","1","1","1","1"
"1069","34","0","1","7","2","3","3","2","2","8","3","3","2","1","1","2","2","3","99","99","3","99","2","99","3","3","3","3","99","3","3"
"1070","16","1","3","1","2","1","2","1","2","7","4","1","3","1","1","2","2","2","2","1","1","1","1","10","1","4","1","1","1","1","1"
"1071","23","1","6","4","2","1","1","1","1","3","3","1","2","1","4","1","1","3","3","2","2","1","1","3","6","4","1","1","1","1","1"
"1072","33","1","1","4","2","7","4","0","2","3","7","1","9","0","99","2","2","6","99","3","3","8","1","2","1","4","1","4","4","4","4"
"1073","24","1","3","1","2","2","2","2","2","4","2","2","3","0","99","2","2","4","4","3","2","2","4","11","1","2","1","2","2","2","2"
"1074","32","1","3","5","2","2","4","3","2","7","4","2","4","3","2","2","2","1","1","1","99","2","6","8","2","3","1","3","3","3","3"
"1075","34","1","5","8","2","3","7","0","2","1","7","4","2","2","3","1","1","3","3","2","2","8","96","5","6","1","4","1","4","1","1"
"1076","25","0","3","3","2","1","3","1","2","4","5","4","2","1","4","2","2","5","6","5","2","1","7","4","1","4","1","96","1","3","3"
"1077","21","0","3","7","2","1","2","2","1","5","2","3","5","1","1","1","1","2","2","1","2","1","7","9","1","1","4","2","1","1","1"
"1078","32","1","3","1","2","1","3","0","2","99","3","2","99","1","1","2","1","99","99","99","2","99","1","11","15","2","1","1","1","1","1"
"1079","32","0","3","5","2","1","2","2","2","7","2","2","99","99","1","2","2","2","2","1","2","1","11","99","15","1","1","1","1","1","1"
"1080","14","1","3","6","2","2","2","2","2","7","5","3","5","1","2","2","2","3","3","2","2","1","1","99","1","2","4","2","2","2","2"
"1081","42","0","3","6","1","2","7","3","2","5","7","1","5","4","1","1","1","1","4","2","1","1","11","6","14","2","3","4","4","4","4"
"1082","44","0","3","3","2","4","5","5","2","10","6","1","4","3","4","2","2","2","2","2","1","2","11","99","1","3","2","4","3","3","3"
"1083","23","0","3","7","1","1","3","1","1","3","7","1","3","1","1","1","2","1","2","1","1","1","1","10","6","2","4","1","1","1","1"
"1084","41","0","3","1","2","1","1","1","1","5","1","1","4","1","1","2","1","3","3","2","6","1","11","11","1","4","1","1","1","1","1"
"1085","25","1","3","1","2","2","3","2","2","7","3","1","2","1","4","2","2","4","99","99","2","2","1","2","1","4","1","3","2","2","2"
"1086","25","0","3","2","2","1","5","1","2","9","6","1","5","1","4","2","2","2","99","99","2","99","3","5","1","3","1","1","99","99","99"
"1087","42","0","1","7","2","5","7","2","2","3","9","2","3","2","1","1","1","2","1","1","1","1","1","10","14","4","4","1","1","1","1"
"1088","24","1","3","1","2","3","5","1","1","4","7","4","1","1","5","2","2","1","3","5","1","8","1","11","15","4","1","2","1","99","99"
"1089","21","1","1","7","2","3","3","99","2","6","5","3","3","2","1","1","1","3","3","2","2","1","1","4","2","2","4","4","4","4","4"
"1090","35","1","3","1","2","2","2","2","2","4","4","1","99","0","2","2","2","4","4","2","2","2","8","11","15","4","1","3","3","3","3"
"1091","42","0","3","2","2","3","4","4","2","1","4","2","3","2","3","1","1","4","99","99","2","1","1","99","1","4","1","4","4","4","4"
"1092","25","1","3","6","2","2","2","2","2","7","2","3","3","1","2","2","2","3","99","99","1","2","9","3","3","2","3","2","2","2","2"
"1093","16","1","3","1","2","4","3","1","1","4","7","1","3","1","1","1","1","2","99","99","2","8","3","1","1","4","1","3","3","3","3"
"1094","26","0","8","6","2","2","2","1","1","3","2","1","3","1","1","1","1","4","4","1","8","1","9","6","1","1","3","1","1","1","1"
"1095","41","1","3","11","2","2","2","2","2","1","2","3","5","2","1","1","1","3","3","1","7","2","7","11","2","1","5","2","2","2","2"
"1096","32","1","3","4","2","2","2","2","2","7","5","2","2","99","2","2","2","4","3","4","2","2","1","99","15","1","1","2","2","2","2"
"1097","16","0","1","7","2","3","3","1","2","7","7","3","3","3","3","1","2","2","3","2","1","8","7","1","1","1","4","4","4","4","4"
"1098","15","1","6","4","2","1","3","1","2","7","4","1","4","3","4","1","1","99","99","99","2","8","3","9","1","3","1","1","1","96","96"
"1099","42","1","3","5","2","2","2","2","2","7","2","2","1","1","1","2","2","3","3","2","3","99","11","99","3","4","1","2","2","99","99"
"1100","41","0","3","4","2","1","1","1","1","1","1","4","5","1","1","2","1","2","2","2","2","1","2","11","1","3","3","1","1","1","1"
"1101","25","1","3","1","2","2","2","2","2","7","4","2","3","1","2","2","2","3","3","3","2","1","1","3","1","4","2","2","2","2","2"
"1102","32","0","3","5","2","1","2","2","1","1","2","2","9","1","1","2","2","3","2","3","2","99","11","99","14","1","1","1","1","1","1"
"1103","44","1","3","4","2","2","2","1","2","7","2","2","4","2","2","1","2","2","2","1","1","2","11","4","2","1","1","99","99","99","99"
"1104","31","1","3","7","2","2","6","3","2","7","6","3","4","3","1","1","1","3","3","2","2","2","6","7","9","1","5","3","3","3","3"
"1105","24","0","3","5","2","3","7","7","2","4","8","3","3","1","1","1","2","5","5","3","2","1","4","11","1","2","1","4","4","4","4"
"1106","16","1","3","1","2","2","4","2","2","7","5","2","3","1","2","2","2","3","3","3","2","2","1","10","1","3","1","2","2","2","2"
"1107","42","0","3","3","2","1","4","4","1","1","4","2","3","0","1","2","2","4","4","2","3","1","7","99","3","3","1","3","3","3","3"
"1108","32","1","1","10","2","7","3","1","2","8","3","1","5","1","3","2","2","99","99","99","2","1","11","99","1","1","4","4","4","4","4"
"1109","23","0","3","5","2","1","3","2","1","1","4","1","3","1","1","2","2","2","1","1","1","1","1","96","2","1","1","2","2","2","2"
"1110","26","0","3","4","2","1","4","2","2","4","5","1","4","1","1","1","1","3","4","3","2","1","1","2","7","4","1","3","3","1","1"
"1111","21","0","3","1","2","2","2","2","2","4","4","1","1","0","1","2","2","3","99","5","96","2","1","2","3","4","4","2","2","1","1"
"1112","26","1","8","3","2","2","3","3","2","7","3","2","2","1","2","1","1","3","3","5","1","2","8","3","15","2","1","2","2","2","2"
"1113","33","0","3","4","2","1","4","4","1","4","6","1","9","2","1","1","1","3","3","2","7","1","11","5","1","4","1","1","1","1","1"
"1114","41","0","1","5","2","3","7","7","2","1","7","1","9","0","99","2","2","3","3","2","2","8","3","99","15","1","1","4","4","4","4"
"1115","21","1","3","8","2","2","8","2","2","7","12","3","3","6","3","2","2","99","99","99","2","2","1","1","15","1","4","3","3","3","3"
"1116","15","0","3","11","2","3","5","1","2","6","5","3","2","4","1","1","1","2","99","1","7","99","11","99","15","1","5","3","3","3","3"
"1117","31","1","1","5","2","3","3","1","2","7","5","4","3","1","3","2","2","5","99","99","3","8","11","99","8","2","1","4","4","4","4"
"1118","34","0","3","6","2","1","2","2","1","96","4","3","2","1","1","1","1","4","99","99","2","99","11","99","2","4","1","3","3","3","3"
"1119","15","1","3","4","2","2","3","2","2","7","3","2","9","2","1","1","1","4","4","4","2","99","6","99","6","4","1","2","2","2","2"
"1120","31","1","3","4","2","1","2","1","1","4","3","1","3","1","1","1","1","2","2","2","1","1","3","4","3","3","3","2","1","2","2"
"1121","26","1","3","1","2","3","4","1","2","99","5","1","99","1","99","2","2","2","2","1","1","99","11","99","13","4","1","99","99","99","99"
"1122","42","0","3","4","2","4","8","8","2","9","8","2","3","8","1","1","1","3","2","99","1","1","1","11","13","1","2","1","1","1","1"
"1123","33","0","3","5","2","1","2","1","1","1","2","2","1","1","1","1","1","6","6","3","3","1","1","1","15","1","5","3","4","3","3"
"1124","44","1","3","6","2","2","2","2","2","7","2","2","3","1","2","2","2","3","3","1","3","99","3","6","13","1","5","3","3","3","3"
"1125","16","1","3","1","2","2","2","2","2","7","3","1","1","3","2","2","1","3","3","2","1","99","7","2","15","4","1","3","3","3","3"
"1126","43","0","1","6","2","1","2","2","1","1","2","2","5","1","1","1","1","99","99","99","99","99","11","99","1","3","1","1","1","1","1"
"1127","23","0","3","6","1","1","2","1","1","1","4","3","2","1","1","1","1","2","2","1","1","1","6","1","6","1","4","2","1","1","1"
"1128","16","1","3","5","2","2","2","1","2","7","4","3","3","2","2","2","2","2","99","99","6","99","11","99","1","3","1","3","3","3","3"
"1129","16","0","6","1","2","1","2","1","1","3","5","4","1","1","1","2","2","3","99","99","6","1","3","5","1","4","1","3","3","1","1"
"1130","34","0","3","1","2","1","1","1","1","1","1","1","99","0","99","2","2","4","99","99","3","99","1","10","15","4","1","1","1","1","1"
"1131","32","1","3","6","2","2","3","1","2","7","4","3","4","3","2","1","1","99","99","99","2","2","1","11","13","1","2","1","3","3","3"
"1132","16","0","3","5","2","1","3","0","2","1","3","4","3","2","1","1","2","99","2","1","1","1","11","11","6","2","1","1","1","1","1"
"1133","16","1","1","7","2","3","2","1","2","7","2","3","2","2","3","1","2","1","1","1","1","1","1","11","1","1","5","4","4","4","4"
"1134","44","1","3","4","2","2","2","1","2","7","4","1","2","1","99","2","2","3","3","4","2","2","6","2","1","1","3","1","2","2","2"
"1135","34","0","1","8","2","1","3","2","1","4","3","3","2","2","1","1","1","3","99","99","3","1","7","5","6","2","4","1","1","1","1"
"1136","31","0","3","2","2","1","4","1","1","9","5","1","3","1","4","2","2","5","99","99","3","8","1","7","11","4","1","3","3","3","3"
"1137","16","0","1","7","2","3","5","5","2","1","5","3","3","2","3","2","2","2","2","99","2","99","1","1","15","4","4","4","4","4","4"
"1138","41","1","2","7","2","7","4","4","2","7","4","1","3","1","2","2","2","5","5","2","2","3","4","7","1","1","5","2","3","3","2"
"1139","25","0","3","5","2","1","2","1","1","3","2","1","1","1","1","1","2","4","99","99","2","1","1","5","1","4","1","3","3","3","3"
"1140","35","0","99","99","2","99","99","99","1","99","4","2","99","99","99","2","2","99","99","99","99","99","8","99","15","3","1","99","99","99","99"
"1141","23","1","3","2","2","2","1","1","2","7","3","2","3","1","2","1","2","1","1","1","8","2","96","2","8","3","1","2","2","2","2"
"1142","34","1","3","5","2","2","3","2","2","1","3","1","4","3","2","1","2","1","99","99","1","2","1","11","15","2","1","2","2","2","2"
"1143","14","0","3","3","2","1","4","1","1","4","6","1","4","3","1","1","1","3","3","3","3","1","1","7","12","1","1","1","1","1","1"
"1144","16","1","3","1","2","2","4","2","2","7","4","3","2","2","2","1","2","2","2","1","1","2","3","5","1","4","1","1","2","3","3"
"1145","34","0","1","6","2","3","2","2","1","1","2","2","5","2","1","1","1","2","1","1","1","1","1","11","15","1","5","1","1","1","4"
"1146","32","0","5","4","2","1","1","1","1","99","2","2","99","99","1","2","2","5","5","4","2","1","11","99","1","1","1","1","1","1","1"
"1147","21","1","3","1","2","2","2","1","2","5","6","1","2","1","2","2","2","99","99","99","2","2","7","1","15","4","1","3","3","3","3"
"1148","33","1","3","5","2","2","2","1","2","7","4","1","1","1","2","1","1","2","2","1","2","2","1","11","3","2","4","2","2","2","2"
"1149","44","1","3","4","2","2","2","2","2","7","4","2","3","1","2","2","2","2","2","1","1","8","6","4","7","3","3","3","3","3","3"
"1150","21","0","3","4","2","1","2","1","1","5","2","2","1","99","1","2","2","3","3","4","5","1","6","7","10","2","1","1","1","1","1"
"1151","15","0","3","1","2","1","2","1","1","1","4","1","3","1","1","1","2","3","3","1","7","1","11","4","15","4","1","3","3","3","3"
"1152","34","0","3","6","2","3","6","6","2","1","6","2","4","1","1","1","1","99","99","99","2","99","6","6","11","1","2","1","1","1","1"
"1153","23","0","3","10","2","4","3","2","2","1","5","3","2","1","1","1","1","3","3","2","1","1","6","1","10","3","4","4","3","1","1"
"1154","26","0","5","1","2","5","3","0","2","10","3","1","1","1","8","2","2","3","2","1","3","1","1","7","6","4","1","96","96","96","96"
"1155","31","1","3","1","2","2","5","3","2","7","5","2","2","1","1","1","1","3","99","99","2","1","6","1","1","4","1","1","1","2","99"
"1156","33","0","3","6","2","1","1","0","2","6","1","2","99","99","1","2","2","3","5","2","3","99","11","99","15","3","3","4","4","4","4"
"1157","16","1","6","6","2","3","3","2","2","7","4","4","4","3","4","1","2","5","2","1","7","10","6","4","1","1","2","99","3","3","3"
"1158","16","0","1","4","2","4","5","5","2","5","5","1","3","2","3","2","2","3","4","3","6","1","1","7","1","2","1","1","1","1","1"
"1159","35","1","3","6","2","3","7","3","2","7","9","2","99","3","2","2","2","3","3","2","2","2","1","1","10","2","2","3","4","3","3"
